"x_plot","y_plot","playsection"
84,37,"outsideNorthEast"
-98,-8,"outsideNorthEastDZ"
-96,8,"outsideNorthWestDZ"
31,-36,"westPoint"
-97,-9,"outsideNorthEastDZ"
0,32,"northEastBoardsNZ"
82,-38,"outsideNorthWest"
-94,25,"outsideNorthWestDZ"
30,40,"eastPoint"
33,-40,"westPoint"
-95,22,"outsideNorthWestDZ"
31,36,"eastPoint"
76,-39,"outsideNorthWest"
-96,23,"outsideNorthWestDZ"
-95,-24,"outsideNorthEastDZ"
29,-40,"westPoint"
34,37,"eastPoint"
-92,-30,"outsideNorthEastDZ"
25,27,"eastPoint"
-96,21,"outsideNorthWestDZ"
-94,-6,"outsideNorthEastDZ"
-97,-21,"outsideNorthEastDZ"
-95,7,"outsideNorthWestDZ"
69,-39,"outsideNorthWest"
80,-38,"outsideNorthWest"
-95,-22,"outsideNorthEastDZ"
-25,-34,"southWestBoardsNZ"
26,33,"eastPoint"
32,38,"eastPoint"
29,40,"eastPoint"
-83,37,"outsideNorthWestDZ"
35,40,"eastPoint"
-97,-22,"outsideNorthEastDZ"
-25,34,"southEastBoardsNZ"
32,-39,"westPoint"
69,39,"outsideNorthEast"
-93,-26,"outsideNorthEastDZ"
33,40,"eastPoint"
-99,-3,"outsideNorthEastDZ"
-98,-9,"outsideNorthEastDZ"
-93,-27,"outsideNorthEastDZ"
-94,-4,"outsideNorthEastDZ"
32,39,"eastPoint"
-96,-22,"outsideNorthEastDZ"
64,39,"outsideNorthEast"
37,-39,"westPoint"
-69,39,"outsideNorthWestDZ"
-94,-23,"outsideNorthEastDZ"
-93,28,"outsideNorthWestDZ"
35,37,"eastPoint"
75,-39,"outsideNorthWest"
-85,-36,"outsideNorthEastDZ"
-83,-37,"outsideNorthEastDZ"
35,-37,"westPoint"
37,-38,"westPoint"
39,-39,"westPoint"
-86,-36,"outsideNorthEastDZ"
83,-38,"outsideNorthWest"
36,38,"eastPoint"
68,-40,"outsideNorthWest"
-85,35,"outsideNorthWestDZ"
-84,37,"outsideNorthWestDZ"
63,39,"outsideNorthEast"
-96,22,"outsideNorthWestDZ"
-71,-22,"outsideNorthEastDZ"
68,39,"outsideNorthEast"
-97,16,"outsideNorthWestDZ"
-93,30,"outsideNorthWestDZ"
-84,-36,"outsideNorthEastDZ"
-99,3,"outsideNorthWestDZ"
-97,21,"outsideNorthWestDZ"
-85,-35,"outsideNorthEastDZ"
0,20,"northCenterNZ"
35,-40,"westPoint"
-82,-37,"outsideNorthEastDZ"
34,-40,"westPoint"
-96,-25,"outsideNorthEastDZ"
38,39,"eastPoint"
84,-37,"outsideNorthWest"
-93,27,"outsideNorthWestDZ"
77,-39,"outsideNorthWest"
82,-37,"outsideNorthWest"
84,-36,"outsideNorthWest"
-98,8,"outsideNorthWestDZ"
39,39,"eastPoint"
34,40,"eastPoint"
82,37,"outsideNorthEast"
83,37,"outsideNorthEast"
85,36,"outsideNorthEast"
-97,17,"outsideNorthWestDZ"
-71,22,"outsideNorthWestDZ"
-94,23,"outsideNorthWestDZ"
-86,-35,"outsideNorthEastDZ"
-70,-40,"outsideNorthEastDZ"
25,26,"eastPoint"
26,-34,"westPoint"
78,39,"outsideNorthEast"
84,36,"outsideNorthEast"
34,-36,"westPoint"
34,36,"eastPoint"
40,39,"eastPoint"
-93,26,"outsideNorthWestDZ"
30,-36,"westPoint"
36,-40,"westPoint"
83,-36,"outsideNorthWest"
-93,-30,"outsideNorthEastDZ"
-84,-37,"outsideNorthEastDZ"
68,40,"outsideNorthEast"
-96,-9,"outsideNorthEastDZ"
-94,29,"outsideNorthWestDZ"
0,18,"northCenterNZ"
74,39,"outsideNorthEast"
81,-38,"outsideNorthWest"
85,-36,"outsideNorthWest"
-85,36,"outsideNorthWestDZ"
-97,9,"outsideNorthWestDZ"
-84,36,"outsideNorthWestDZ"
-95,8,"outsideNorthWestDZ"
-92,31,"outsideNorthWestDZ"
-82,37,"outsideNorthWestDZ"
-82,38,"outsideNorthWestDZ"
-75,-39,"outsideNorthEastDZ"
38,-38,"westPoint"
-83,36,"outsideNorthWestDZ"
-69,-39,"outsideNorthEastDZ"
0,-19,"northCenterNZ"
36,37,"eastPoint"
-97,-17,"outsideNorthEastDZ"
-95,-21,"outsideNorthEastDZ"
-94,-2,"outsideNorthEastDZ"
75,39,"outsideNorthEast"
95,25,"outsideNorthEast"
-70,40,"outsideNorthWestDZ"
33,-36,"westPoint"
74,40,"outsideNorthEast"
-93,-25,"outsideNorthEastDZ"
-93,25,"outsideNorthWestDZ"
-62,-39,"outsideNorthEastDZ"
0,-32,"northWestBoardsNZ"
62,-39,"outsideNorthWest"
73,39,"outsideNorthEast"
94,28,"outsideNorthEast"
-98,-18,"outsideNorthEastDZ"
25,-13,"westPoint"
36,40,"eastPoint"
94,-28,"outsideNorthWest"
-98,9,"outsideNorthWestDZ"
-92,-31,"outsideNorthEastDZ"
-80,38,"outsideNorthWestDZ"
0,-6,"northCenterNZ"
71,40,"outsideNorthEast"
78,-39,"outsideNorthWest"
30,36,"eastPoint"
79,-38,"outsideNorthWest"
98,1,"outsideNorthEast"
-96,-21,"outsideNorthEastDZ"
-68,40,"outsideNorthWestDZ"
94,-27,"outsideNorthWest"
-94,-29,"outsideNorthEastDZ"
0,4,"northCenterNZ"
29,-37,"westPoint"
74,-39,"outsideNorthWest"
-99,4,"outsideNorthWestDZ"
-97,19,"outsideNorthWestDZ"
-83,38,"outsideNorthWestDZ"
0,-31,"northWestBoardsNZ"
0,31,"northEastBoardsNZ"
73,-39,"outsideNorthWest"
93,28,"outsideNorthEast"
25,-26,"westPoint"
31,-35,"westPoint"
71,-40,"outsideNorthWest"
80,-39,"outsideNorthWest"
-98,-10,"outsideNorthEastDZ"
-96,20,"outsideNorthWestDZ"
-94,-3,"outsideNorthEastDZ"
-94,2,"outsideNorthWestDZ"
0,9,"northCenterNZ"
31,35,"eastPoint"
63,-39,"outsideNorthWest"
-95,-8,"outsideNorthEastDZ"
81,37,"outsideNorthEast"
85,35,"outsideNorthEast"
-97,-16,"outsideNorthEastDZ"
37,-40,"westPoint"
78,-38,"outsideNorthWest"
96,23,"outsideNorthEast"
-97,-18,"outsideNorthEastDZ"
-97,18,"outsideNorthWestDZ"
95,-24,"outsideNorthWest"
-98,17,"outsideNorthWestDZ"
-97,-19,"outsideNorthEastDZ"
-93,-24,"outsideNorthEastDZ"
-92,-29,"outsideNorthEastDZ"
-86,35,"outsideNorthWestDZ"
25,25,"eastPoint"
38,38,"eastPoint"
77,39,"outsideNorthEast"
-98,18,"outsideNorthWestDZ"
25,-25,"westPoint"
33,36,"eastPoint"
70,39,"outsideNorthEast"
94,27,"outsideNorthEast"
-97,20,"outsideNorthWestDZ"
-96,26,"outsideNorthWestDZ"
-94,-7,"outsideNorthEastDZ"
-83,-36,"outsideNorthEastDZ"
-81,37,"outsideNorthWestDZ"
0,-8,"northCenterNZ"
58,-39,"outsideNorthWest"
61,39,"outsideNorthEast"
79,-39,"outsideNorthWest"
59,39,"outsideNorthEast"
79,39,"outsideNorthEast"
86,36,"outsideNorthEast"
-97,-20,"outsideNorthEastDZ"
-25,33,"southEastBoardsNZ"
75,-40,"outsideNorthWest"
95,-26,"outsideNorthWest"
-97,-23,"outsideNorthEastDZ"
-95,-20,"outsideNorthEastDZ"
40,-39,"westPoint"
85,-37,"outsideNorthWest"
95,-25,"outsideNorthWest"
98,-1,"outsideNorthWest"
-25,40,"southEastBoardsNZ"
0,30,"northEastBoardsNZ"
81,38,"outsideNorthEast"
-86,36,"outsideNorthWestDZ"
25,9,"centerPoint"
72,-40,"outsideNorthWest"
83,36,"outsideNorthEast"
-99,-4,"outsideNorthEastDZ"
-82,-38,"outsideNorthEastDZ"
-98,-17,"outsideNorthEastDZ"
-92,-28,"outsideNorthEastDZ"
29,37,"eastPoint"
72,40,"outsideNorthEast"
79,38,"outsideNorthEast"
-81,-38,"outsideNorthEastDZ"
37,40,"eastPoint"
82,38,"outsideNorthEast"
92,30,"outsideNorthEast"
95,24,"outsideNorthEast"
-98,-16,"outsideNorthEastDZ"
-96,-20,"outsideNorthEastDZ"
-96,19,"outsideNorthWestDZ"
-20,-23,"southWestBoardsNZ"
28,-40,"westPoint"
32,37,"eastPoint"
93,29,"outsideNorthEast"
0,-7,"northCenterNZ"
28,-39,"westPoint"
36,-37,"westPoint"
68,-39,"outsideNorthWest"
86,35,"outsideNorthEast"
93,27,"outsideNorthEast"
-94,7,"outsideNorthWestDZ"
-84,35,"outsideNorthWestDZ"
-75,39,"outsideNorthWestDZ"
-74,-39,"outsideNorthEastDZ"
26,-33,"westPoint"
25,24,"eastPoint"
37,38,"eastPoint"
-80,-38,"outsideNorthEastDZ"
32,-40,"westPoint"
62,39,"outsideNorthEast"
76,-40,"outsideNorthWest"
83,38,"outsideNorthEast"
-94,-22,"outsideNorthEastDZ"
-68,-40,"outsideNorthEastDZ"
0,-9,"northCenterNZ"
-1,-2,"southCenterNZ"
0,26,"northEastBoardsNZ"
-98,16,"outsideNorthWestDZ"
-78,39,"outsideNorthWestDZ"
0,-5,"northCenterNZ"
39,38,"eastPoint"
80,38,"outsideNorthEast"
-84,-35,"outsideNorthEastDZ"
-76,39,"outsideNorthWestDZ"
-67,40,"outsideNorthWestDZ"
-97,22,"outsideNorthWestDZ"
0,-4,"northCenterNZ"
0,5,"northCenterNZ"
58,39,"outsideNorthEast"
67,-40,"outsideNorthWest"
-97,23,"outsideNorthWestDZ"
-70,-39,"outsideNorthEastDZ"
-62,39,"outsideNorthWestDZ"
-25,-33,"southWestBoardsNZ"
0,28,"northEastBoardsNZ"
41,39,"eastPoint"
65,-40,"outsideNorthWest"
81,-39,"outsideNorthWest"
95,26,"outsideNorthEast"
-74,39,"outsideNorthWestDZ"
-56,39,"outsideNorthWestDZ"
25,8,"centerPoint"
41,-39,"westPoint"
-71,-40,"outsideNorthEastDZ"
0,-29,"northWestBoardsNZ"
64,-39,"outsideNorthWest"
73,-40,"outsideNorthWest"
82,36,"outsideNorthEast"
-79,38,"outsideNorthWestDZ"
-74,-40,"outsideNorthEastDZ"
-61,-39,"outsideNorthEastDZ"
20,23,"northEastBoardsNZ"
38,-40,"westPoint"
-99,0,"outsideNorthEastDZ"
0,-30,"northWestBoardsNZ"
61,-39,"outsideNorthWest"
-95,21,"outsideNorthWestDZ"
77,-38,"outsideNorthWest"
93,-30,"outsideNorthWest"
-93,6,"outsideNorthWestDZ"
-87,-35,"outsideNorthEastDZ"
-77,-39,"outsideNorthEastDZ"
-25,32,"southEastBoardsNZ"
94,26,"outsideNorthEast"
-94,-21,"outsideNorthEastDZ"
-57,39,"outsideNorthWestDZ"
-25,-40,"southWestBoardsNZ"
25,-6,"centerPoint"
67,40,"outsideNorthEast"
77,38,"outsideNorthEast"
96,24,"outsideNorthEast"
-76,-39,"outsideNorthEastDZ"
0,8,"northCenterNZ"
33,35,"eastPoint"
-94,20,"outsideNorthWestDZ"
-94,21,"outsideNorthWestDZ"
-85,-34,"outsideNorthEastDZ"
-81,-37,"outsideNorthEastDZ"
39,-40,"westPoint"
57,-39,"outsideNorthWest"
60,39,"outsideNorthEast"
65,-39,"outsideNorthWest"
71,-39,"outsideNorthWest"
96,25,"outsideNorthEast"
-79,39,"outsideNorthWestDZ"
60,-39,"outsideNorthWest"
65,39,"outsideNorthEast"
73,40,"outsideNorthEast"
-95,28,"outsideNorthWestDZ"
28,39,"eastPoint"
57,38,"outsideNorthEast"
84,-35,"outsideNorthWest"
98,-2,"outsideNorthWest"
-77,39,"outsideNorthWestDZ"
-73,40,"outsideNorthWestDZ"
-71,40,"outsideNorthWestDZ"
59,-39,"outsideNorthWest"
-96,9,"outsideNorthWestDZ"
-95,19,"outsideNorthWestDZ"
0,6,"northCenterNZ"
93,-29,"outsideNorthWest"
94,-26,"outsideNorthWest"
-72,-39,"outsideNorthEastDZ"
0,-20,"northCenterNZ"
25,12,"eastPoint"
25,14,"eastPoint"
-95,0,"outsideNorthWestDZ"
0,29,"northEastBoardsNZ"
64,40,"outsideNorthEast"
66,40,"outsideNorthEast"
71,39,"outsideNorthEast"
72,39,"outsideNorthEast"
74,-40,"outsideNorthWest"
-92,-27,"outsideNorthEastDZ"
-73,-40,"outsideNorthEastDZ"
-98,19,"outsideNorthWestDZ"
-92,30,"outsideNorthWestDZ"
-78,38,"outsideNorthWestDZ"
-85,37,"outsideNorthWestDZ"
-82,-36,"outsideNorthEastDZ"
-60,-39,"outsideNorthEastDZ"
-58,39,"outsideNorthWestDZ"
-57,-39,"outsideNorthEastDZ"
0,-21,"northCenterNZ"
37,37,"eastPoint"
-96,18,"outsideNorthWestDZ"
-83,35,"outsideNorthWestDZ"
-70,39,"outsideNorthWestDZ"
0,-18,"northCenterNZ"
25,7,"centerPoint"
39,-38,"westPoint"
81,-37,"outsideNorthWest"
-94,22,"outsideNorthWestDZ"
-83,-38,"outsideNorthEastDZ"
-59,-39,"outsideNorthEastDZ"
25,-3,"centerPoint"
56,-39,"outsideNorthWest"
64,-40,"outsideNorthWest"
75,40,"outsideNorthEast"
-25,14,"southCenterNZ"
25,-12,"westPoint"
80,-37,"outsideNorthWest"
95,-27,"outsideNorthWest"
96,-23,"outsideNorthWest"
97,21,"outsideNorthEast"
-75,-40,"outsideNorthEastDZ"
-63,40,"outsideNorthWestDZ"
67,39,"outsideNorthEast"
96,-25,"outsideNorthWest"
98,5,"outsideNorthEast"
-65,-39,"outsideNorthEastDZ"
0,21,"northCenterNZ"
20,-23,"northWestBoardsNZ"
35,36,"eastPoint"
94,-25,"outsideNorthWest"
-68,39,"outsideNorthWestDZ"
-63,-39,"outsideNorthEastDZ"
-61,39,"outsideNorthWestDZ"
32,-37,"westPoint"
39,40,"eastPoint"
84,35,"outsideNorthEast"
96,-24,"outsideNorthWest"
-97,-10,"outsideNorthEastDZ"
-93,-6,"outsideNorthEastDZ"
-82,36,"outsideNorthWestDZ"
-73,-39,"outsideNorthEastDZ"
-42,-39,"eastPointDZ"
55,-39,"outsideNorthWest"
80,39,"outsideNorthEast"
97,6,"outsideNorthEast"
-58,-39,"outsideNorthEastDZ"
-20,23,"southEastBoardsNZ"
35,-36,"westPoint"
-85,-37,"outsideNorthEastDZ"
-25,-32,"southWestBoardsNZ"
33,-35,"westPoint"
98,3,"outsideNorthEast"
-97,-15,"outsideNorthEastDZ"
-86,-34,"outsideNorthEastDZ"
-78,-39,"outsideNorthEastDZ"
-59,39,"outsideNorthWestDZ"
-57,-38,"outsideNorthEastDZ"
38,40,"eastPoint"
52,39,"eastPoint"
-92,29,"outsideNorthWestDZ"
26,32,"eastPoint"
43,39,"eastPoint"
60,-40,"outsideNorthWest"
82,-36,"outsideNorthWest"
86,-36,"outsideNorthWest"
-98,-19,"outsideNorthEastDZ"
-95,-9,"outsideNorthEastDZ"
-74,40,"outsideNorthWestDZ"
-72,-40,"outsideNorthEastDZ"
0,27,"northEastBoardsNZ"
65,40,"outsideNorthEast"
-96,-19,"outsideNorthEastDZ"
-52,-39,"eastPointDZ"
25,-5,"centerPoint"
42,39,"eastPoint"
78,38,"outsideNorthEast"
0,10,"northCenterNZ"
25,0,"centerPoint"
28,-38,"westPoint"
40,38,"eastPoint"
-80,39,"outsideNorthWestDZ"
25,-4,"centerPoint"
25,-1,"centerPoint"
32,40,"eastPoint"
-60,39,"outsideNorthWestDZ"
-50,-39,"eastPointDZ"
25,-22,"westPoint"
55,39,"outsideNorthEast"
66,-40,"outsideNorthWest"
87,35,"outsideNorthEast"
97,5,"outsideNorthEast"
-95,20,"outsideNorthWestDZ"
-79,-38,"outsideNorthEastDZ"
-76,38,"outsideNorthWestDZ"
0,7,"northCenterNZ"
25,17,"eastPoint"
94,29,"outsideNorthEast"
95,27,"outsideNorthEast"
98,-5,"outsideNorthWest"
-68,-39,"outsideNorthEastDZ"
0,-28,"northWestBoardsNZ"
0,-10,"northCenterNZ"
92,-31,"outsideNorthWest"
-96,-16,"outsideNorthEastDZ"
-64,-39,"outsideNorthEastDZ"
-58,38,"outsideNorthWestDZ"
25,5,"centerPoint"
30,-35,"westPoint"
97,-6,"outsideNorthWest"
-73,39,"outsideNorthWestDZ"
-55,39,"outsideNorthWestDZ"
-25,7,"southCenterNZ"
33,-34,"westPoint"
-96,17,"outsideNorthWestDZ"
-93,23,"outsideNorthWestDZ"
0,17,"northCenterNZ"
25,-8,"centerPoint"
26,-32,"westPoint"
97,1,"outsideNorthEast"
-95,-28,"outsideNorthEastDZ"
-92,28,"outsideNorthWestDZ"
-79,-39,"outsideNorthEastDZ"
98,4,"outsideNorthEast"
-99,-5,"outsideNorthEastDZ"
-64,40,"outsideNorthWestDZ"
-63,-40,"outsideNorthEastDZ"
58,40,"outsideNorthEast"
59,-38,"outsideNorthWest"
93,-27,"outsideNorthWest"
-96,16,"outsideNorthWestDZ"
-93,-7,"outsideNorthEastDZ"
-93,24,"outsideNorthWestDZ"
-25,31,"southEastBoardsNZ"
13,39,"northEastBoardsNZ"
25,-14,"westPoint"
32,36,"eastPoint"
41,38,"eastPoint"
43,-39,"westPoint"
63,-40,"outsideNorthWest"
-96,-17,"outsideNorthEastDZ"
-26,-38,"southWestBoardsNZ"
-25,13,"southCenterNZ"
60,40,"outsideNorthEast"
98,2,"outsideNorthEast"
98,6,"outsideNorthEast"
-97,10,"outsideNorthWestDZ"
-51,-39,"eastPointDZ"
25,-16,"westPoint"
25,1,"centerPoint"
25,22,"eastPoint"
61,38,"outsideNorthEast"
-84,-34,"outsideNorthEastDZ"
-64,39,"outsideNorthWestDZ"
-59,-38,"outsideNorthEastDZ"
1,2,"northCenterNZ"
49,-39,"westPoint"
61,-40,"outsideNorthWest"
86,-35,"outsideNorthWest"
97,7,"outsideNorthEast"
-98,-15,"outsideNorthEastDZ"
-95,18,"outsideNorthWestDZ"
-25,11,"southCenterNZ"
25,-7,"centerPoint"
28,40,"eastPoint"
62,-40,"outsideNorthWest"
67,-39,"outsideNorthWest"
-93,7,"outsideNorthWestDZ"
-63,39,"outsideNorthWestDZ"
46,39,"eastPoint"
-98,20,"outsideNorthWestDZ"
-94,8,"outsideNorthWestDZ"
31,-34,"westPoint"
41,40,"eastPoint"
51,-39,"westPoint"
51,39,"eastPoint"
85,37,"outsideNorthEast"
93,-28,"outsideNorthWest"
96,-22,"outsideNorthWest"
97,22,"outsideNorthEast"
-97,15,"outsideNorthWestDZ"
-67,-40,"outsideNorthEastDZ"
25,18,"eastPoint"
32,-36,"westPoint"
33,34,"eastPoint"
40,-40,"westPoint"
57,-40,"outsideNorthWest"
58,-40,"outsideNorthWest"
63,40,"outsideNorthEast"
80,37,"outsideNorthEast"
92,29,"outsideNorthEast"
95,-23,"outsideNorthWest"
-50,39,"westPointDZ"
-41,39,"westPointDZ"
-25,29,"southEastBoardsNZ"
0,-26,"northWestBoardsNZ"
76,38,"outsideNorthEast"
-96,-18,"outsideNorthEastDZ"
-66,40,"outsideNorthWestDZ"
-25,-15,"southCenterNZ"
-25,27,"southEastBoardsNZ"
25,-17,"westPoint"
